Season,State,Annual_Rainfall,Pesticide,Yield,Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius at 2 Meters,Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
Kharif     ,Assam,2051.4,3251.9,0.473,East,Clay,Cotton,990.267439,24.07205187,18.4,86.02,FALSE,TRUE,Sunny,110,6.187396154
Kharif     ,Assam,2051.4,9708.58,41.89695652,West,Loam,Barley,183.9396984,34.22792305,18.22,84.48,TRUE,FALSE,Cloudy,99,3.017923632
Whole Year ,Assam,2051.4,2907.8,3.440434783,West,Clay,Rice,935.8027653,20.88777425,18.37,85.54,TRUE,TRUE,Rainy,71,7.756962285
Whole Year ,Assam,2051.4,764.15,4.41826087,North,Loam,Wheat,824.4399399,29.84743199,18.28,85.16,FALSE,FALSE,Sunny,100,4.551048007
Whole Year ,Assam,2051.4,134.23,0.38,North,Peaty,Cotton,480.3051868,35.46198556,18.35,84.92,FALSE,FALSE,Rainy,121,2.939337928
Whole Year ,Assam,2051.4,3122.01,0.67,East,Chalky,Maize,170.8144562,29.11637668,18.49,86.09,FALSE,TRUE,Sunny,133,2.332254904
Rabi       ,Assam,2051.4,26256.38,1.25952381,North,Clay,Wheat,615.3492037,27.7556319,18.41,86.03,TRUE,FALSE,Rainy,142,4.876587312
Whole Year ,Karnataka,1266.7,28861,1.293571429,West,Silt,Barley,334.7285763,31.13704658,18.34,86.1,TRUE,TRUE,Sunny,140,4.459294447
Kharif     ,Karnataka,1266.7,130761.1,0.268235294,South,Silt,Maize,259.4181251,17.26189246,18.43,85.51,FALSE,FALSE,Sunny,110,2.338540521
Kharif     ,Karnataka,1266.7,93356.19,0.404545455,South,Loam,Wheat,786.7701031,23.19937137,18.43,84.23,TRUE,TRUE,Rainy,123,6.93758935
Summer     ,Karnataka,1266.7,254.2,0.81,East,Silt,Maize,609.7987642,38.26585114,18.22,85.42,TRUE,FALSE,Cloudy,127,5.113587741
Kharif     ,Karnataka,1266.7,1185.75,0.4375,South,Silt,Rice,476.6827789,29.34104312,18.38,84.98,TRUE,TRUE,Sunny,67,6.407034489
Whole Year ,Karnataka,1266.7,6581.3,0.058571429,North,Clay,Wheat,356.8231001,36.5777972,18.37,84.67,TRUE,FALSE,Cloudy,130,4.007912822
Whole Year ,Karnataka,1266.7,5368.27,0.121333333,North,Loam,Soybean,600.1997541,20.93536015,18.19,83.44,TRUE,FALSE,Sunny,75,4.898180753
Kharif     ,Karnataka,1266.7,57839.49,1.078333333,North,Loam,Rice,180.7203767,18.21203323,18.27,83.65,FALSE,FALSE,Rainy,83,0.801898157
Rabi       ,Karnataka,1266.7,1415.15,1.869444444,North,Sandy,Barley,475.7819349,22.94625368,18.58,83.45,FALSE,FALSE,Rainy,94,3.607496381
Whole Year ,Karnataka,1266.7,1568.91,1.585,East,Clay,Maize,599.8754927,19.90929232,18.67,85.48,TRUE,FALSE,Cloudy,63,4.696425465
Kharif     ,Karnataka,1266.7,1121.89,1.262307692,South,Peaty,Cotton,492.5633865,17.20915031,18.5,84.85,FALSE,TRUE,Cloudy,86,5.627777991
Kharif     ,Karnataka,1266.7,262776.46,0.709411765,West,Silt,Cotton,841.5627151,17.57187667,18.51,83.52,TRUE,TRUE,Sunny,98,6.748042937
Rabi       ,Karnataka,1266.7,59648.96,1.133333333,South,Clay,Barley,808.9816113,36.13054343,17.72,83.4,TRUE,FALSE,Cloudy,66,6.314786278
Kharif     ,Karnataka,1266.7,55450.32,0.45,North,Peaty,Barley,138.9384998,31.61116417,17.54,82.11,TRUE,FALSE,Cloudy,139,2.368321659
Rabi       ,Karnataka,1266.7,50583.63,0.514705882,West,Peaty,Rice,805.701203,29.20012383,17.81,82.79,TRUE,FALSE,Sunny,145,6.344585381
Kharif     ,Karnataka,1266.7,120803.9,1.228,East,Peaty,Rice,634.1900146,38.45166407,17.61,85.07,FALSE,FALSE,Sunny,127,4.166930902
Rabi       ,Karnataka,1266.7,465363.32,0.510714286,North,Silt,Wheat,167.4043561,28.10838919,17.61,84.12,FALSE,TRUE,Rainy,148,2.968063048
Summer     ,Karnataka,1266.7,1902.47,2.470909091,North,Chalky,Cotton,396.9834216,35.0006104,17.7,84.54,FALSE,TRUE,Sunny,132,4.237604656
Kharif     ,Karnataka,1266.7,155867.07,2.687777778,West,Silt,Wheat,680.1422119,34.48425673,18.09,84.63,TRUE,FALSE,Rainy,109,5.984756044
Rabi       ,Karnataka,1266.7,15141.64,1.98,East,Peaty,Barley,844.7742639,30.4937156,18.3,85.43,FALSE,TRUE,Rainy,142,5.681246362
Summer     ,Karnataka,1266.7,3016.3,2.165714286,West,Clay,Rice,801.9406398,28.7622216,17.8,84.36,FALSE,TRUE,Sunny,124,5.349548891
Kharif     ,Karnataka,1266.7,278355.51,1.191333333,East,Loam,Maize,695.208413,23.73628527,17.94,83.43,TRUE,FALSE,Cloudy,139,5.901756682
Rabi       ,Karnataka,1266.7,8402.24,1.312222222,North,Sandy,Cotton,802.6352974,35.4128459,18.03,84.39,TRUE,FALSE,Sunny,82,6.654949454
Summer     ,Karnataka,1266.7,4191.51,1.847777778,South,Peaty,Rice,378.5520396,38.14194758,18.01,84.24,TRUE,FALSE,Cloudy,64,4.663436154
Kharif     ,Karnataka,1266.7,319774.3,2.2335,North,Clay,Maize,318.0130098,37.38296491,18.15,85.33,FALSE,TRUE,Rainy,121,4.127029291
Rabi       ,Karnataka,1266.7,16705.59,2.073846154,South,Loam,Cotton,652.3472833,39.1556963,18.19,85.45,FALSE,TRUE,Rainy,76,5.493174197
Summer     ,Karnataka,1266.7,83093.64,2.829444444,South,Clay,Barley,765.6877927,26.56508717,18.38,85.77,FALSE,FALSE,Sunny,98,4.762386743
Whole Year ,Karnataka,1266.7,95745.67,91.74736842,East,Loam,Cotton,617.932319,15.90807448,18.18,85.76,FALSE,FALSE,Sunny,96,3.968481044
Whole Year ,Karnataka,1266.7,1346.02,4.452941176,West,Sandy,Maize,224.0687116,38.18668321,18.2,84.36,FALSE,TRUE,Rainy,132,2.49077655
Rabi       ,Karnataka,1266.7,77716.38,0.548333333,East,Silt,Rice,896.1353251,30.20211088,18.7,84.03,FALSE,TRUE,Sunny,131,6.345791482
Whole Year ,Kerala,3252.4,23604.95,1.147857143,North,Sandy,Wheat,435.2542293,25.49630625,18.24,86.04,FALSE,TRUE,Sunny,74,3.190074146
Whole Year ,Kerala,3252.4,53895.05,0.240714286,West,Sandy,Soybean,408.219312,21.85221469,18.31,85.98,FALSE,TRUE,Cloudy,133,4.881093692
Whole Year ,Kerala,3252.4,29782.63,0.589285714,South,Chalky,Wheat,960.7875535,15.48704498,18.4,86.02,FALSE,TRUE,Rainy,132,6.41193074
Whole Year ,Kerala,3252.4,274146.64,5376.054286,South,Loam,Rice,965.5279313,19.58387748,18.22,84.48,FALSE,TRUE,Rainy,92,5.818199697
Whole Year ,Kerala,3252.4,41191.25,22.80357143,North,Clay,Maize,348.1310175,37.17467501,18.37,85.54,TRUE,TRUE,Cloudy,148,5.020292175
Whole Year ,Meghalaya,3818.2,2966.39,1.245714286,West,Loam,Wheat,624.7140209,29.02005232,18.28,85.16,TRUE,TRUE,Cloudy,145,6.800510487
Kharif     ,Meghalaya,3818.2,268.15,0.806666667,North,Sandy,Maize,191.1180835,19.54906185,18.35,84.92,TRUE,FALSE,Cloudy,75,2.13298555
Whole Year ,Meghalaya,3818.2,1624.09,11.20714286,North,Peaty,Cotton,262.9502473,36.93758409,18.49,86.09,FALSE,TRUE,Sunny,142,3.052371341
Rabi       ,Meghalaya,3818.2,9.3,0.49,East,Peaty,Wheat,724.2630196,27.94708306,18.41,86.03,FALSE,TRUE,Cloudy,126,5.76206333
Kharif     ,Meghalaya,3818.2,2338.64,0.796666667,North,Chalky,Soybean,997.4083973,16.18883857,18.34,86.1,TRUE,FALSE,Sunny,139,7.541110605
Whole Year ,Meghalaya,3818.2,547.46,0.64,West,Chalky,Maize,932.5674367,38.30178913,18.43,85.51,TRUE,FALSE,Rainy,61,5.977477297
Kharif     ,Meghalaya,3818.2,2280.67,6.054285714,North,Clay,Rice,504.3644611,28.89317987,18.43,84.23,FALSE,TRUE,Cloudy,118,5.074729825
Rabi       ,Meghalaya,3818.2,137.33,0.613333333,West,Silt,Rice,124.4697966,20.63052475,18.22,85.42,FALSE,FALSE,Sunny,72,0.805512749
Kharif     ,Meghalaya,3818.2,1315.33,8.436666667,South,Clay,Maize,977.621748,23.76682167,18.38,84.98,TRUE,TRUE,Sunny,66,7.81158144
Kharif     ,Meghalaya,3818.2,15.5,0.44,North,Peaty,Rice,588.3827165,26.17204271,18.37,84.67,FALSE,TRUE,Sunny,70,5.236127092
Kharif     ,Meghalaya,3818.2,5324.25,1.444285714,West,Sandy,Soybean,758.6771872,34.31660367,18.19,83.44,FALSE,FALSE,Rainy,138,4.19602278
Kharif     ,Meghalaya,3818.2,1453.28,4.68,South,Clay,Soybean,601.4213463,30.23439558,18.27,83.65,TRUE,TRUE,Sunny,80,6.383980843
Whole Year ,Meghalaya,3818.2,266.91,0.7525,West,Chalky,Maize,257.0681167,18.54140994,18.58,83.45,TRUE,FALSE,Rainy,103,3.319474067
Rabi       ,Meghalaya,3818.2,591.79,0.777142857,South,Chalky,Wheat,153.6887358,25.96182924,18.67,85.48,TRUE,TRUE,Rainy,60,3.306620714
Whole Year ,Meghalaya,3818.2,6436.84,8.641428571,East,Clay,Cotton,620.6111221,29.6172742,18.5,84.85,TRUE,TRUE,Cloudy,108,6.480058976
Rabi       ,Meghalaya,3818.2,2143.34,0.608571429,North,Peaty,Soybean,928.1585501,35.36808678,18.51,83.52,FALSE,TRUE,Rainy,137,6.563130381
Kharif     ,Meghalaya,3818.2,32602.7,1.378571429,North,Loam,Wheat,405.7389043,17.46057977,17.72,83.4,TRUE,FALSE,Rainy,145,4.263799479
Kharif     ,Meghalaya,3818.2,411.06,0.575714286,South,Peaty,Wheat,252.823624,17.146998,17.54,82.11,FALSE,FALSE,Sunny,76,0.616611523
Kharif     ,Meghalaya,3818.2,869.24,0.861428571,East,Peaty,Cotton,325.2218346,24.87562646,17.81,82.79,TRUE,TRUE,Cloudy,111,5.420033156
Kharif     ,Meghalaya,3818.2,278.38,0.921428571,West,Silt,Rice,623.7363082,23.31057588,17.61,85.07,FALSE,TRUE,Sunny,83,4.981891152
Whole Year ,Meghalaya,3818.2,25.42,2.352,East,Sandy,Soybean,462.374318,25.77452626,17.61,84.12,FALSE,TRUE,Rainy,147,4.604917893
Whole Year ,Meghalaya,3818.2,1615.72,3.221428571,West,Silt,Maize,903.7819488,20.59656506,17.7,84.54,FALSE,FALSE,Cloudy,128,5.846681798
Whole Year ,Meghalaya,3818.2,1227.29,6.537142857,West,Clay,Barley,175.0386516,23.82745293,18.09,84.63,TRUE,TRUE,Sunny,89,3.134432137
Rabi       ,Meghalaya,3818.2,230.02,0.618,North,Sandy,Soybean,469.6878461,24.2628872,18.3,85.43,FALSE,TRUE,Cloudy,146,5.095932565
Whole Year ,Meghalaya,3818.2,434.31,5.425714286,South,Peaty,Barley,300.3141572,17.57781819,17.8,84.36,FALSE,TRUE,Sunny,125,1.755992515
Rabi       ,Meghalaya,3818.2,1328.97,1.385,North,Loam,Barley,254.9676836,27.06616028,17.94,83.43,TRUE,TRUE,Sunny,62,5.598945217
Whole Year ,West Bengal,1852.9,2497.98,1.691764706,North,Sandy,Rice,352.9073702,19.17940396,18.03,84.39,TRUE,FALSE,Sunny,145,3.619624822
Whole Year ,West Bengal,1852.9,1125.3,0.777692308,North,Silt,Wheat,154.8523687,36.82693036,18.01,84.24,FALSE,TRUE,Rainy,90,3.14551411
Kharif     ,West Bengal,1852.9,64.17,0.426666667,West,Chalky,Barley,806.5720295,20.81661268,18.15,85.33,FALSE,TRUE,Cloudy,96,5.653412008
Whole Year ,West Bengal,1852.9,1895.96,1.68,North,Clay,Wheat,153.0168034,26.79696697,18.19,85.45,FALSE,FALSE,Rainy,69,1.224502431
Whole Year ,West Bengal,1852.9,828.94,0,West,Clay,Barley,309.267305,27.08393492,18.38,85.77,TRUE,TRUE,Cloudy,88,5.5784995
Whole Year ,West Bengal,1852.9,204.6,0.07,South,Sandy,Soybean,115.9697619,15.11048629,18.18,85.76,TRUE,FALSE,Cloudy,102,2.332762546
Whole Year ,West Bengal,1852.9,7524.63,13003.78778,West,Loam,Wheat,569.9408717,27.55667834,18.2,84.36,FALSE,TRUE,Sunny,124,4.240602465
Kharif     ,West Bengal,1852.9,8060,2,West,Sandy,Maize,874.9747777,33.22486926,18.7,84.03,TRUE,TRUE,Sunny,132,7.657631965
Whole Year ,West Bengal,1852.9,19850.54,0.942777778,East,Loam,Wheat,768.7936109,30.91000164,18.24,86.04,FALSE,FALSE,Cloudy,89,4.562419624
Rabi       ,West Bengal,1852.9,7900.35,0.5975,North,Loam,Wheat,564.0187603,39.56973317,18.31,85.98,FALSE,FALSE,Cloudy,149,4.026689435
Whole Year ,West Bengal,1852.9,9180.65,1.13,North,Sandy,Maize,432.4027528,26.29321813,18.4,86.02,TRUE,FALSE,Cloudy,78,3.631689271
Kharif     ,West Bengal,1852.9,1749.95,0.438888889,North,Sandy,Maize,607.0083551,35.30531204,18.22,84.48,FALSE,FALSE,Rainy,73,3.626501342
Whole Year ,West Bengal,1852.9,293.88,0.482,North,Peaty,Rice,876.1770056,20.89020223,18.37,85.54,TRUE,FALSE,Sunny,148,5.934911999
Kharif     ,West Bengal,1852.9,198887.94,13.44588235,East,Peaty,Soybean,759.4729271,25.20865069,18.28,85.16,FALSE,TRUE,Sunny,61,4.836727029
Rabi       ,West Bengal,1852.9,7830.91,1.095882353,East,Silt,Maize,207.9256707,34.01824557,18.35,84.92,FALSE,TRUE,Cloudy,145,3.001758995
Whole Year ,West Bengal,1852.9,5110.66,0.251538462,East,Loam,Rice,153.9277206,27.111641,18.49,86.09,TRUE,TRUE,Sunny,149,3.513220355
Whole Year ,West Bengal,1852.9,10995.39,2.658461538,East,Chalky,Wheat,293.3722635,16.81147059,18.41,86.03,TRUE,FALSE,Sunny,123,3.482536596
Rabi       ,West Bengal,1852.9,15872.62,0.662352941,North,Peaty,Maize,532.7259782,39.492362,18.34,86.1,FALSE,FALSE,Rainy,96,3.517322553
Kharif     ,West Bengal,1852.9,3003.59,9.154166667,West,Chalky,Maize,457.9632768,26.39824881,18.43,85.51,TRUE,TRUE,Sunny,109,5.168214962
Kharif     ,West Bengal,1852.9,461.9,0.548888889,South,Clay,Cotton,544.4364898,31.79751229,18.43,84.23,FALSE,FALSE,Rainy,70,2.994190947
Rabi       ,West Bengal,1852.9,1013.39,0.542857143,East,Chalky,Barley,604.5851306,36.91617628,18.22,85.42,TRUE,FALSE,Sunny,131,5.54609658
Summer     ,West Bengal,1852.9,3087.29,0.046,West,Clay,Wheat,133.1893411,27.79840098,18.38,84.98,TRUE,FALSE,Rainy,147,2.465217641
Rabi       ,West Bengal,1852.9,15750511,0.698888889,East,Peaty,Soybean,600.28357,39.67114581,18.37,84.67,FALSE,TRUE,Sunny,125,4.631429377
Whole Year ,West Bengal,1852.9,2018.72,0.40375,North,Clay,Soybean,408.6791918,31.61257335,18.19,83.44,FALSE,FALSE,Rainy,95,3.050042091
Kharif     ,West Bengal,1852.9,396.49,0.585,North,Loam,Wheat,769.7255412,24.89414114,18.27,83.65,TRUE,FALSE,Cloudy,111,6.1174877
Whole Year ,West Bengal,1852.9,88044.65,18.23722222,West,Silt,Rice,992.5621553,36.14068672,18.58,83.45,FALSE,TRUE,Sunny,83,7.414459291
Autumn     ,West Bengal,1852.9,3908.17,0.986,West,Sandy,Cotton,937.3220437,26.21135513,18.67,85.48,TRUE,TRUE,Cloudy,67,7.66237209
Whole Year ,West Bengal,1852.9,101408.13,0.718333333,West,Chalky,Wheat,438.3809948,28.87887305,18.5,84.85,TRUE,TRUE,Sunny,114,5.303775382
Autumn     ,West Bengal,1852.9,131167.51,1.837222222,North,Clay,Barley,613.5724767,17.79916462,18.51,83.52,FALSE,FALSE,Cloudy,90,3.684148245
Summer     ,West Bengal,1852.9,374116.99,2.843888889,North,Peaty,Barley,783.1492075,25.00899116,17.72,83.4,FALSE,FALSE,Cloudy,68,4.806494806
Winter     ,West Bengal,1852.9,1323801.68,1.985555556,South,Loam,Rice,965.0346664,29.70896332,17.54,82.11,TRUE,FALSE,Cloudy,74,5.727636882
Whole Year ,West Bengal,1852.9,3348,0.2975,West,Silt,Rice,650.211304,21.36375184,17.81,82.79,TRUE,FALSE,Sunny,82,4.746040737
Whole Year ,West Bengal,1852.9,624.65,4.598571429,South,Chalky,Barley,266.0016257,15.38429894,17.61,85.07,FALSE,FALSE,Cloudy,106,2.37455308
Whole Year ,West Bengal,1852.9,39653.03,0.649444444,East,Peaty,Maize,825.8191756,33.6649605,17.61,84.12,FALSE,TRUE,Cloudy,116,6.732700266
Whole Year ,West Bengal,1852.9,1564.26,0.626666667,South,Sandy,Maize,858.4998401,23.35944287,17.7,84.54,FALSE,FALSE,Sunny,136,3.953928978
Kharif     ,West Bengal,1852.9,482.05,1.196666667,East,Loam,Soybean,269.2364778,26.23879876,18.09,84.63,TRUE,FALSE,Rainy,95,3.608762807
Whole Year ,West Bengal,1852.9,7997.07,67.83625,East,Chalky,Maize,861.7907437,19.94429823,18.3,85.43,TRUE,TRUE,Cloudy,134,7.696239337
Whole Year ,West Bengal,1852.9,86.18,0,South,Silt,Maize,590.005968,18.31698309,17.8,84.36,TRUE,TRUE,Sunny,74,5.471494658
Whole Year ,West Bengal,1852.9,3869.11,1.661111111,West,Silt,Barley,947.867478,21.47318399,17.94,83.43,TRUE,TRUE,Cloudy,65,8.503708245
Kharif     ,West Bengal,1852.9,21474.01,1.825,East,Silt,Soybean,633.4764319,32.35147777,18.03,84.39,TRUE,TRUE,Sunny,109,7.414892517
Rabi       ,West Bengal,1852.9,5175.14,0.628333333,West,Silt,Maize,946.6788966,35.04469112,18.01,84.24,FALSE,TRUE,Sunny,74,7.306644784
Rabi       ,West Bengal,1852.9,113885.94,1.886666667,North,Clay,Wheat,849.2031918,15.30713094,18.15,85.33,FALSE,FALSE,Rainy,96,4.593409046
Kharif     ,Puducherry,1434.5875,19.14,0.35,East,Clay,Soybean,731.1846783,31.72812393,18.19,85.45,TRUE,FALSE,Cloudy,94,6.209837983
Kharif     ,Puducherry,1434.5875,43.21,2.17,North,Chalky,Soybean,805.3101629,38.18831316,18.38,85.77,TRUE,TRUE,Cloudy,123,6.70886773
Kharif     ,Puducherry,1434.5875,3.48,0.58,South,Chalky,Wheat,712.2092165,25.61938131,18.18,85.76,FALSE,FALSE,Cloudy,134,3.37181084
Kharif     ,Puducherry,1434.5875,0.58,0.5,West,Silt,Barley,811.6552749,19.78123523,18.2,84.36,TRUE,FALSE,Cloudy,114,5.326367101
Summer     ,Puducherry,1434.5875,131.37,0.84,South,Sandy,Barley,838.8717355,21.33565957,18.7,84.03,TRUE,FALSE,Rainy,109,5.617218386
Kharif     ,Puducherry,1434.5875,2.32,2.75,East,Peaty,Rice,158.6346299,36.61073214,18.24,86.04,TRUE,TRUE,Cloudy,99,4.935669713
Rabi       ,Puducherry,1434.5875,303.34,1.54,North,Clay,Barley,135.0177594,24.28726989,18.31,85.98,FALSE,FALSE,Sunny,109,1.875927515
Kharif     ,Puducherry,1434.5875,7.54,16.5,East,Sandy,Maize,321.3157766,33.78888399,18.4,86.02,FALSE,FALSE,Sunny,126,2.180200453
Kharif     ,Puducherry,1434.5875,32.48,3.27,South,Chalky,Cotton,839.9070348,29.18128239,18.22,84.48,FALSE,FALSE,Cloudy,66,4.565680056
Kharif     ,Puducherry,1434.5875,1434.05,2.46,West,Peaty,Maize,563.8130192,33.53199116,18.37,85.54,TRUE,FALSE,Sunny,65,4.082637517
Rabi       ,Puducherry,1434.5875,4048.69,2.555,West,Loam,Soybean,444.4091392,26.67258731,18.28,85.16,TRUE,TRUE,Sunny,131,5.933361635
Summer     ,Puducherry,1434.5875,1657.64,2.55,East,Silt,Barley,391.6132743,19.05013946,18.35,84.92,TRUE,TRUE,Rainy,88,5.745190905
Kharif     ,Puducherry,1434.5875,42.63,0.806666667,East,Silt,Cotton,453.5661757,33.67200645,18.49,86.09,TRUE,TRUE,Cloudy,125,5.879831821
Kharif     ,Puducherry,1434.5875,1.16,0.75,North,Chalky,Wheat,994.1766654,39.90684891,18.41,86.03,FALSE,FALSE,Sunny,96,6.261172496
Kharif     ,Puducherry,1434.5875,785.9,82.595,South,Loam,Cotton,142.1800404,15.68390751,18.34,86.1,FALSE,FALSE,Cloudy,136,0.96214144
Kharif     ,Puducherry,1434.5875,188.21,20,East,Loam,Cotton,327.9157865,23.47247,18.43,85.51,FALSE,FALSE,Sunny,138,2.529802608
Whole Year ,Assam,2354.4,21592.53,0.784347826,North,Clay,Wheat,529.2489666,23.77628238,18.43,84.23,FALSE,TRUE,Rainy,146,3.82814631
Kharif     ,Assam,2354.4,2220.53,0.709130435,East,Peaty,Barley,291.2199488,38.11796479,18.22,85.42,TRUE,TRUE,Cloudy,76,5.45032215
Whole Year ,Assam,2354.4,12146.65,13.78826087,West,Silt,Soybean,851.2003411,29.53903432,18.38,84.98,FALSE,FALSE,Sunny,103,4.802372767
Kharif     ,Assam,2354.4,501.12,0.411428571,North,Chalky,Barley,502.7918059,29.52905452,18.37,84.67,TRUE,TRUE,Cloudy,146,5.376372194
Whole Year ,Assam,2354.4,5848.14,6045.886957,North,Silt,Barley,351.595999,29.35629879,18.19,83.44,TRUE,FALSE,Cloudy,71,4.205169079
Kharif     ,Assam,2354.4,479.08,0.399130435,East,Sandy,Rice,863.7539839,22.0810869,18.27,83.65,TRUE,TRUE,Cloudy,63,8.153903514
Whole Year ,Assam,2354.4,4269.96,0.636956522,South,Clay,Rice,165.9624509,18.93290305,18.58,83.45,TRUE,TRUE,Sunny,66,3.864733393
Rabi       ,Assam,2354.4,870.58,0.460454545,West,Peaty,Cotton,757.5746563,31.83286612,18.67,85.48,FALSE,TRUE,Rainy,75,5.862490243
Kharif     ,Assam,2354.4,22823.58,9.040869565,South,Loam,Cotton,275.0273811,38.8671577,18.5,84.85,TRUE,FALSE,Rainy,103,3.486220783
Rabi       ,Assam,2354.4,2964.38,0.480909091,North,Chalky,Cotton,194.2144101,36.77543892,18.51,83.52,FALSE,TRUE,Cloudy,147,2.779076645
Kharif     ,Assam,2354.4,5744.9,0.608695652,South,Chalky,Wheat,540.5550044,22.87657201,17.72,83.4,TRUE,FALSE,Cloudy,146,4.503199972
Kharif     ,Assam,2354.4,1525.4,4.9105,North,Peaty,Cotton,774.2851873,17.42170041,17.54,82.11,FALSE,FALSE,Sunny,136,4.172643892
Kharif     ,Assam,2354.4,2538.37,0.520555556,South,Loam,Wheat,481.4800194,19.74381695,17.81,82.79,TRUE,FALSE,Rainy,103,4.003218037
Whole Year ,Assam,2354.4,2344.07,2.340434783,East,Loam,Wheat,885.4575689,34.17791722,17.61,85.07,TRUE,FALSE,Cloudy,131,7.234193608
Rabi       ,Assam,2354.4,33680.89,0.50826087,South,Loam,Barley,419.0895784,25.37666417,17.61,84.12,TRUE,FALSE,Rainy,87,4.359173152
Whole Year ,Assam,2354.4,22317.82,7.230434783,North,Peaty,Soybean,745.154172,28.86812372,17.7,84.54,TRUE,TRUE,Sunny,110,7.475424661
Rabi       ,Assam,2354.4,83760.41,0.473478261,West,Chalky,Maize,613.9858959,33.1895547,18.09,84.63,FALSE,TRUE,Sunny,107,5.316916368
Autumn     ,Assam,2354.4,172543.91,1.055652174,West,Loam,Soybean,425.5755659,16.6654316,18.3,85.43,FALSE,TRUE,Sunny,69,3.591913278
Summer     ,Assam,2354.4,64934.77,1.685217391,West,Sandy,Soybean,867.6209554,15.94968256,17.8,84.36,TRUE,FALSE,Cloudy,119,5.612783641
Winter     ,Assam,2354.4,474216.7,1.395652174,North,Clay,Barley,699.2670891,29.68763074,17.94,83.43,FALSE,TRUE,Cloudy,107,4.971329826
Kharif     ,Assam,2354.4,4622.6,0.485217391,South,Silt,Barley,906.3365437,33.20784126,18.03,84.39,TRUE,FALSE,Cloudy,108,6.845069978
